"date","very_act_dist","mod_act_dist","light_act_dist","sed_act_dist"
"apr-12","2","0","3","0"
"apr-13","1","0","3","0"
"apr-14","2","1","4","0"
"apr-15","1","0","4","0"
"apr-16","2","1","3","0"
"apr-17","1","0","3","0"
"apr-18","2","1","3","0"
"apr-19","2","1","3","0"
"apr-20","2","1","3","0"
"apr-21","2","1","3","0"
"apr-22","2","1","3","0"
"apr-23","1","1","4","0"
"apr-24","2","1","3","0"
"apr-25","2","0","3","0"
"apr-26","1","1","3","0"
"apr-27","2","1","3","0"
"apr-28","1","0","4","0"
"apr-29","1","1","4","0"
"apr-30","2","1","4","0"
"may-01","2","1","3","0"
"may-02","1","1","3","0"
"may-03","2","1","4","0"
"may-04","1","0","3","0"
"may-05","2","1","4","0"
"may-06","2","0","3","0"
"may-07","1","1","3","0"
"may-08","1","1","3","0"
"may-09","2","1","4","0"
"may-10","1","1","3","0"
"may-11","2","1","3","0"
"may-12","0","0","2","0"
