"activity_date","dau","dau_percent"
"2016-04-12","33","100"
"2016-04-13","33","100"
"2016-04-14","33","100"
"2016-04-15","33","100"
"2016-04-16","32","100"
"2016-04-17","32","100"
"2016-04-18","32","100"
"2016-04-19","32","100"
"2016-04-20","32","100"
"2016-04-21","32","100"
"2016-04-22","32","100"
"2016-04-23","32","100"
"2016-04-24","32","100"
"2016-04-25","32","100"
"2016-04-26","32","100"
"2016-04-27","32","100"
"2016-04-28","32","100"
"2016-04-29","32","100"
"2016-04-30","31","100"
"2016-05-01","30","0"
"2016-05-02","29","0"
"2016-05-03","29","0"
"2016-05-04","29","0"
"2016-05-05","29","0"
"2016-05-06","29","0"
"2016-05-07","29","0"
"2016-05-08","27","0"
"2016-05-09","27","0"
"2016-05-10","26","0"
"2016-05-11","24","0"
"2016-05-12","21","0"
