"cus_id","total_calories","total_steps"
"8378563200","106534","270249"
"8877689391","106028","497241"
"5577150313","100789","249133"
"4388161847","95910","335232"
"4702921684","91932","265734"
"8053475328","91320","457662"
"8583815059","84693","223154"
"1644430081","84339","218489"
"7086361926","79557","290525"
"2022484408","77809","352490"
"6290855005","75389","163837"
"4020332650","73960","70284"
"4445114986","67772","148693"
"1927972279","67357","28400"
"7007744171","66144","294409"
"6117666160","63312","197308"
"4319703577","63168","225334"
"4558609924","63031","238239"
"6962181067","61443","303639"
"2873212765","59426","234229"
"5553957443","58146","266990"
"8792009665","56907","53758"
"1503960366","56309","375619"
"6775888955","55426","65512"
"2320127002","53449","146223"
"1844505072","48778","79982"
"2026352035","47760","172573"
"1624580081","45984","178061"
"3977333714","45410","329537"
"3372868164","38662","137233"
"2347167796","36782","171354"
"8253242879","33972","123161"
"4057192912","7895","15352"
