"cus_id","total_days","total_steps"
"8877689391","31","497241"
"8053475328","31","457662"
"1503960366","31","375619"
"2022484408","31","352490"
"4388161847","31","335232"
"3977333714","30","329537"
"6962181067","31","303639"
"7007744171","26","294409"
"7086361926","31","290525"
"8378563200","31","270249"
"5553957443","31","266990"
"4702921684","31","265734"
"5577150313","30","249133"
"4558609924","31","238239"
"2873212765","31","234229"
"4319703577","31","225334"
"8583815059","31","223154"
"1644430081","30","218489"
"6117666160","28","197308"
"1624580081","31","178061"
"2026352035","31","172573"
"2347167796","18","171354"
"6290855005","29","163837"
"4445114986","31","148693"
"2320127002","31","146223"
"3372868164","20","137233"
"8253242879","19","123161"
"1844505072","31","79982"
"4020332650","31","70284"
"6775888955","26","65512"
"8792009665","29","53758"
"1927972279","31","28400"
"4057192912","4","15352"
